packet_size,write_freq,num_packets,direction,speed_total_bps,speed_valid_bps,send_rate_bps,latency_avg_ms,latency_min_ms,latency_max_ms,packet_loss_percent,corruption_percent,elapsed_time,packets_sent,packets_received,packets_corrupt,timestamp
128,0.01,10,Sender → Receiver,17738.526332309764,17738.526332309764,88692.63166154882,85.56938171386719,80.40714263916016,90.58237075805664,80.0,0.0,0.11545491218566895,10,2.0,0.0,1763458323.6104786
128,0.05,10,Sender → Receiver,20121.278102073513,20121.278102073513,20121.278102073513,63.43398888905843,46.53334617614746,77.89492607116699,0.0,0.0,0.5089139938354492,10,10.0,0.0,1763458324.566832
128,0.1,10,Sender → Receiver,10110.422891960776,10110.422891960776,10110.422891960776,65.71016311645508,64.68915939331055,66.4980411529541,0.0,0.0,1.0128161907196045,10,10.0,0.0,1763458326.101917
128,0.2,10,Sender → Receiver,5363.635790996192,5363.635790996192,5363.635790996192,63.805691401163735,63.13824653625488,64.48793411254883,0.0,0.0,1.9091527462005615,10,10.0,0.0,1763458328.698507
128,0.4,10,Sender → Receiver,2760.5692176384428,2760.5692176384428,2760.5692176384428,64.55043951670329,43.68948936462402,79.17952537536621,0.0,0.0,3.7093799114227295,10,10.0,0.0,1763458333.1628716
128,0.8,10,Sender → Receiver,1418.3746722522324,1418.3746722522324,1418.3746722522324,63.57871691385905,48.413991928100586,82.76605606079102,0.0,0.0,7.219531059265137,10,10.0,0.0,1763458341.6114273
128,1.0,10,Sender → Receiver,1135.2180535247098,1135.2180535247098,1135.2180535247098,68.86671384175618,55.824995040893555,77.51107215881348,0.0,0.0,9.020293474197388,10,10.0,0.0,1763458352.0217307
256,0.01,10,Sender → Receiver,29658.645354939694,29658.645354939694,98862.15118313232,138.10735278659396,95.5653190612793,173.6435890197754,70.0,0.0,0.20715713500976562,10,3.0,0.0,1763458352.6216922
256,0.05,10,Sender → Receiver,40489.261977418224,40489.261977418224,40489.261977418224,94.87268129984538,77.4993896484375,103.01375389099121,0.0,0.0,0.5058131217956543,10,10.0,0.0,1763458353.5747356
256,0.1,10,Sender → Receiver,20257.14887537773,20257.14887537773,20257.14887537773,87.1228853861491,76.48015022277832,97.65911102294922,0.0,0.0,1.0110011100769043,10,10.0,0.0,1763458355.0450656
256,0.2,10,Sender → Receiver,10751.6372803032,10751.6372803032,10751.6372803032,93.60545476277669,75.23393630981445,96.68636322021484,0.0,0.0,1.9048261642456055,10,10.0,0.0,1763458357.522264
256,0.4,10,Sender → Receiver,5519.541279575634,5519.541279575634,5519.541279575634,93.42726866404216,90.30437469482422,111.97948455810547,0.0,0.0,3.7104532718658447,10,10.0,0.0,1763458361.9991908
256,0.8,10,Sender → Receiver,2800.129410644876,2800.129410644876,2800.129410644876,84.87873872121175,77.91328430175781,99.28035736083984,0.0,0.0,7.313947677612305,10,10.0,0.0,1763458370.4616878
256,1.0,10,Sender → Receiver,2246.5666738989753,2246.5666738989753,2246.5666738989753,94.29482618967693,77.68464088439941,99.19476509094238,0.0,0.0,9.116132736206055,10,10.0,0.0,1763458380.9807138
512,0.01,10,Sender → Receiver,26281.97373924351,26281.97373924351,131409.86869621754,188.1486177444458,149.42073822021484,226.90367698669434,80.0,0.0,0.31169652938842773,10,2.0,0.0,1763458381.6823473
512,0.05,10,Sender → Receiver,40703.80008643108,0,81407.60017286216,0,0,0,100.0,0,0.5031471252441406,10,0.0,5.0,1763458382.6633666
512,0.1,10,Sender → Receiver,40536.179249612505,0,40536.179249612505,0,0,0,100.0,0,1.0104553699493408,10,0.0,10.0,1763458384.135249
512,0.2,10,Sender → Receiver,21445.118906475353,21445.118906475353,21445.118906475353,133.70882670084634,118.70384216308594,140.47765731811523,0.0,0.0,1.90999174118042,10,10.0,0.0,1763458386.6460803
512,0.4,10,Sender → Receiver,11033.233717074008,11033.233717074008,11033.233717074008,133.60437552134195,132.80487060546875,134.51194763183594,0.0,0.0,3.7124202251434326,10,10.0,0.0,1763458391.1146898
512,0.8,10,Sender → Receiver,5600.235271652107,5600.235271652107,5600.235271652107,130.6628147761027,121.22654914855957,143.36276054382324,0.0,0.0,7.313978433609009,10,10.0,0.0,1763458399.6222076
512,1.0,10,Sender → Receiver,4489.6723771221805,4489.6723771221805,4489.6723771221805,131.70045216878256,122.64895439147949,144.43635940551758,0.0,0.0,9.123160123825073,10,10.0,0.0,1763458410.1211061
1024,0.01,10,Sender → Receiver,32494.950635859906,32494.950635859906,162474.75317929953,318.8815116882324,241.05572700500488,398.09584617614746,80.0,0.0,0.5042014122009277,10,2.0,0.0,1763458410.9581118
1024,0.05,10,Sender → Receiver,32389.31801207633,0,161946.59006038166,0,0,0,100.0,0,0.5058457851409912,10,0.0,2.0,1763458411.9891698
1024,0.1,10,Sender → Receiver,40780.390663925486,0,81560.78132785097,0,0,0,100.0,0,1.0044043064117432,10,0.0,5.0,1763458413.4383173
1024,0.2,10,Sender → Receiver,42962.35222420016,0,42962.35222420016,0,0,0,100.0,0,1.9067857265472412,10,0.0,10.0,1763458415.9235005
1024,0.4,10,Sender → Receiver,22062.67154275112,22062.67154275112,22062.67154275112,244.50113773345947,243.75295639038086,245.24784088134766,0.0,0.0,3.7130589485168457,10,10.0,0.0,1763458420.4192505
1024,0.8,10,Sender → Receiver,11198.015357627932,11198.015357627932,11198.015357627932,247.70334561665854,235.33129692077637,256.7324638366699,0.0,0.0,7.315582036972046,10,10.0,0.0,1763458428.945363
1024,1.0,10,Sender → Receiver,8975.922132289903,8975.922132289903,8975.922132289903,247.84023761749268,246.7362880706787,248.7342357635498,0.0,0.0,9.126638889312744,10,10.0,0.0,1763458439.4447029
2048,0.01,10,Sender → Receiver,32477.489240331943,32477.489240331943,162387.4462016597,610.1241509119669,455.20496368408203,764.8770809173584,80.0,0.0,1.0089449882507324,10,2.0,0.0,1763458440.7529376
2048,0.05,10,Sender → Receiver,32568.48010437917,0,162842.40052189585,0,0,0,100.0,0,1.0061261653900146,10,0.0,2.0,1763458442.2499955
2048,0.1,10,Sender → Receiver,32611.214715780327,0,163056.07357890165,0,0,0,100.0,0,1.004807710647583,10,0.0,2.0,1763458443.7503564
2048,0.2,10,Sender → Receiver,42972.56659485341,0,85945.13318970682,0,0,0,100.0,0,1.9063324928283691,10,0.0,5.0,1763458446.2084439
2048,0.4,10,Sender → Receiver,44186.38923850042,0,44186.38923850042,0,0,0,100.0,0,3.7079291343688965,10,0.0,10.0,1763458450.6731107
2048,0.8,10,Sender → Receiver,22394.17911673452,22394.17911673452,22394.17911673452,445.65332730611163,438.8289451599121,460.4325294494629,0.0,0.0,7.316186904907227,10,10.0,0.0,1763458459.1990814
2048,1.0,10,Sender → Receiver,17968.72777876123,17968.72777876123,17968.72777876123,454.6885887781779,451.81727409362793,473.3755588531494,0.0,0.0,9.11806344985962,10,10.0,0.0,1763458469.6991723
4096,0.01,10,Sender → Receiver,36259.385715318385,36259.385715318385,181296.92857659195,1180.9067726135254,859.3995571136475,1502.2435188293457,80.0,0.0,1.8074216842651367,10,2.0,0.0,1763458471.981494
4096,0.05,10,Sender → Receiver,36218.11234894457,0,181090.56174472283,0,0,0,100.0,0,1.8094813823699951,10,0.0,2.0,1763458474.308778
