packet_size,write_freq,num_packets,direction,speed_total_bps,speed_valid_bps,send_rate_bps,latency_avg_ms,latency_min_ms,latency_max_ms,packet_loss_percent,corruption_percent,elapsed_time,packets_sent,packets_received,packets_corrupt,timestamp
128,0.01,10,Sender → Receiver,9565.330470764831,9565.330470764831,95653.30470764832,54.03677622477213,52.24967002868652,55.42349815368652,90.0,0.0,0.10705327987670898,10,1.0,0.0,1763451300.4928768
128,0.05,10,Sender → Receiver,20189.397716770913,20189.397716770913,20189.397716770913,65.24566014607747,47.42574691772461,79.16474342346191,0.0,0.0,0.5071969032287598,10,10.0,0.0,1763451301.3601353
128,0.1,10,Sender → Receiver,10173.031186084987,10173.031186084987,10173.031186084987,51.578219731648765,40.54737091064453,62.17241287231445,0.0,0.0,1.0065829753875732,10,10.0,0.0,1763451302.8709512
128,0.2,10,Sender → Receiver,5364.961694256562,5364.961694256562,5364.961694256562,64.92124398549397,64.18132781982422,65.84906578063965,0.0,0.0,1.9086809158325195,10,10.0,0.0,1763451305.389442
128,0.4,10,Sender → Receiver,2759.8327072417214,2759.8327072417214,2759.8327072417214,64.61370786031087,63.559532165527344,65.38271903991699,0.0,0.0,3.710369825363159,10,10.0,0.0,1763451309.8519664
128,0.8,10,Sender → Receiver,1419.0728932909522,1419.0728932909522,1419.0728932909522,44.571526845296226,43.623924255371094,45.51434516906738,0.0,0.0,7.2159788608551025,10,10.0,0.0,1763451318.2667115
128,1.0,10,Sender → Receiver,1135.64753251262,1135.64753251262,1135.64753251262,69.79926427205403,69.01979446411133,70.64628601074219,0.0,0.0,9.016882181167603,10,10.0,0.0,1763451328.6252487
256,0.01,10,Sender → Receiver,49612.30828941927,49612.30828941927,99224.61657883854,125.94529787699382,86.2586498260498,160.19511222839355,50.0,0.0,0.20640039443969727,10,5.0,0.0,1763451329.2137692
256,0.05,10,Sender → Receiver,40684.71423388537,40684.71423388537,40684.71423388537,81.90801938374837,68.5887336730957,104.15768623352051,0.0,0.0,0.5033831596374512,10,10.0,0.0,1763451330.2276537
256,0.1,10,Sender → Receiver,20403.373712843724,20403.373712843724,20403.373712843724,61.67067686716715,60.59098243713379,62.51072883605957,0.0,0.0,1.0037555694580078,10,10.0,0.0,1763451331.6941168
256,0.2,10,Sender → Receiver,10743.98012586187,10743.98012586187,10743.98012586187,65.89768727620442,55.22751808166504,76.76386833190918,0.0,0.0,1.9061837196350098,10,10.0,0.0,1763451334.197702
256,0.4,10,Sender → Receiver,5522.827060901365,5522.827060901365,5522.827060901365,74.26901658376057,63.44127655029297,85.23321151733398,0.0,0.0,3.7082457542419434,10,10.0,0.0,1763451338.6997967
256,0.8,10,Sender → Receiver,2798.9363674078027,2798.9363674078027,2798.9363674078027,77.08570162455241,66.50781631469727,87.45813369750977,0.0,0.0,7.317065238952637,10,10.0,0.0,1763451347.1758597
256,1.0,10,Sender → Receiver,2245.963651507665,2245.963651507665,2245.963651507665,79.48261896769206,69.1232681274414,89.99967575073242,0.0,0.0,9.118580341339111,10,10.0,0.0,1763451357.6194286
512,0.01,10,Sender → Receiver,40268.40144948597,40268.40144948597,134228.0048316199,178.28880416022406,145.47491073608398,240.05436897277832,70.0,0.0,0.30515241622924805,10,3.0,0.0,1763451358.304116
512,0.05,10,Sender → Receiver,57012.68704935527,57012.68704935527,81446.69578479325,182.35606238955543,135.2550983428955,246.40560150146484,30.0,0.0,0.5029056072235107,10,7.0,0.0,1763451359.3602896
512,0.1,10,Sender → Receiver,40753.17852068156,40753.17852068156,40753.17852068156,89.60724671681722,78.41134071350098,100.32916069030762,0.0,0.0,1.0050749778747559,10,10.0,0.0,1763451360.819622
512,0.2,10,Sender → Receiver,21476.119678150768,21476.119678150768,21476.119678150768,114.35356140136719,113.47484588623047,115.09299278259277,0.0,0.0,1.9072346687316895,10,10.0,0.0,1763451363.3056905
512,0.4,10,Sender → Receiver,11038.535695606526,11038.535695606526,11038.535695606526,110.0611686706543,109.12179946899414,110.83149909973145,0.0,0.0,3.710637092590332,10,10.0,0.0,1763451367.832255
512,0.8,10,Sender → Receiver,5597.867262803883,5597.867262803883,5597.867262803883,99.77923234303792,98.47784042358398,101.17006301879883,0.0,0.0,7.31707239151001,10,10.0,0.0,1763451376.31171
512,1.0,10,Sender → Receiver,4492.870725918232,4492.870725918232,4492.870725918232,101.74225171407063,98.9997386932373,105.58223724365234,0.0,0.0,9.116665601730347,10,10.0,0.0,1763451386.8299518
1024,0.01,10,Sender → Receiver,48536.09680924999,48536.09680924999,161786.98936416663,301.4553123050266,246.41132354736328,356.66561126708984,70.0,0.0,0.5063447952270508,10,3.0,0.0,1763451387.603605
1024,0.05,10,Sender → Receiver,64635.51409562498,0,161588.78523906245,0,0,0,100.0,0,0.5069658756256104,10,0.0,4.0,1763451388.6278226
1024,0.1,10,Sender → Receiver,65007.5919891155,0,81259.48998639437,0,0,0,100.0,0,1.0081284046173096,10,0.0,8.0,1763451390.089075
1024,0.2,10,Sender → Receiver,42912.993079165586,42912.993079165586,42912.993079165586,189.87778027852377,189.08953666687012,191.2539005279541,0.0,0.0,1.9089789390563965,10,10.0,0.0,1763451392.6442747
1024,0.4,10,Sender → Receiver,22082.650390678224,22082.650390678224,22082.650390678224,174.9652942021688,170.11213302612305,191.05219841003418,0.0,0.0,3.7096996307373047,10,10.0,0.0,1763451397.1836214
1024,0.8,10,Sender → Receiver,11197.338782920175,11197.338782920175,11197.338782920175,182.24613666534424,170.03798484802246,190.49429893493652,0.0,0.0,7.3160240650177,10,10.0,0.0,1763451405.6425505
1024,1.0,10,Sender → Receiver,8984.023969223783,8984.023969223783,8984.023969223783,185.68844000498453,183.72082710266113,188.554048538208,0.0,0.0,9.118408441543579,10,10.0,0.0,1763451416.1115274
2048,0.01,10,Sender → Receiver,48957.75893724568,32638.505958163783,163192.52979081892,490.8228317896525,396.17252349853516,585.4690074920654,80.0,50.0,1.003967523574829,10,2.0,1.0,1763451417.4845378
2048,0.05,10,Sender → Receiver,65287.2756876438,0,163218.1892191095,0,0,0,100.0,0,1.0038096904754639,10,0.0,4.0,1763451418.810943
2048,0.1,10,Sender → Receiver,65006.23910076541,0,162515.5977519135,0,0,0,100.0,0,1.0081493854522705,10,0.0,4.0,1763451420.2707984
2048,0.2,10,Sender → Receiver,68712.6140636704,0,85890.76757958799,0,0,0,100.0,0,1.9075391292572021,10,0.0,8.0,1763451422.7607706
2048,0.4,10,Sender → Receiver,44136.375976449286,44136.375976449286,44136.375976449286,331.24388853708905,318.4235095977783,342.1306610107422,0.0,0.0,3.7121307849884033,10,10.0,0.0,1763451427.2559748
2048,0.8,10,Sender → Receiver,22396.24749710577,22396.24749710577,22396.24749710577,324.9290148417155,309.89623069763184,350.06046295166016,0.0,0.0,7.315511226654053,10,10.0,0.0,1763451435.7716877
